source,target
delete-node_LocalVariable_TryWithResource,move-tree_BinaryOperator_ConstructorCall
delete-node_LocalVariable_TryWithResource,delete-node_Block_If
insert-node_Invocation_If,delete-node_BinaryOperator_If
insert-node_Invocation_If,move-tree_BinaryOperator_ConstructorCall
delete-node_ForEach_Block,update-node_Invocation_ForEach
move-tree_ConstructorCall_LocalVariable,delete-node_LocalVariable_TryWithResource
move-tree_ConstructorCall_LocalVariable,move-tree_Invocation_OperatorAssignment
is_vul,delete-node_If_Block
is_vul,delete-node_Invocation_Block
is_vul,insert-node_Invocation_LocalVariable
is_vul,delete-node_Invocation_LocalVariable
is_vul,insert-node_Parameter_Method
is_vul,delete-node_Parameter_Method
is_vul,delete-node_Invocation_Invocation
is_vul,insert-node_Literal_Invocation
is_vul,delete-node_Literal_Invocation
is_vul,insert-node_FieldRead_ConstructorCall
is_vul,delete-node_Annotation_Method
is_vul,insert-node_Annotation_Method
is_vul,insert-node_BinaryOperator_If
is_vul,insert-node_Invocation_ConstructorCall
is_vul,delete-node_Invocation_ConstructorCall
is_vul,delete-node_FieldRead_ConstructorCall
is_vul,insert-node_Block_If
is_vul,delete-node_Annotation_Parameter
is_vul,insert-node_Annotation_Parameter
is_vul,insert-node_TypeAccess_Invocation
is_vul,delete-node_TypeAccess_Invocation
is_vul,insert-node_VirtualElement_Annotation
is_vul,delete-node_TypeReference_Invocation
is_vul,delete-node_VirtualElement_Annotation
is_vul,insert-node_TypeReference_Invocation
is_vul,delete-node_BinaryOperator_If
is_vul,delete-node_Invocation_BinaryOperator
is_vul,delete-node_Block_If
is_vul,delete-node_Catch_Try
is_vul,delete-node_BinaryOperator_Return
